utilisateur,date,categorie,montant
Benedicte,2026-03-29 00:00:00,nourriture,2500.0
Benedicte,2026-04-01 00:00:00,deplacement,1600.0
Benedicte,2026-04-02 00:00:00,deplacement,1600.0
Benedicte,2026-04-02 00:00:00,nourriture,350.0
Benedicte,2026-04-11 00:00:00,deplacement,2100.0
Benedicte,2026-04-15 00:00:00,autres,1000.0
Benedicte,2026-04-15 00:00:00,nourriture,400.0
Benedicte,2026-04-18 00:00:00,deplacement,800.0
Benedicte,2026-04-19 00:00:00,deplacement,1000.0
Benedicte,2026-04-19 00:00:00,nourriture,500.0
Benedicte,2026-04-20 00:00:00,deplacement,1200.0
Benedicte,2026-04-21 00:00:00,deplacement,1500.0
Benedicte,2026-04-21 00:00:00,nourriture,500.0
Benedicte,2026-04-22 00:00:00,deplacement,900.0
Benedicte,2026-04-23 00:00:00,deplacement,800.0
Benedicte,2026-04-24 00:00:00,deplacement,900.0
Benedicte,2026-04-25 00:00:00,deplacement,1000.0
Benedicte,2026-04-26 00:00:00,deplacement,1000.0
Benedicte,2026-04-28 00:00:00,autres,1700.0
Benedicte,2026-04-29 00:00:00,deplacement,800.0
Benedicte,2026-04-30 00:00:00,deplacement,1000.0
Benedicte,2026-05-02 00:00:00,autres,675.0
Benedicte,2026-05-04 00:00:00,deplacement,800.0
Benedicte,2026-05-04 00:00:00,nourriture,500.0
Benedicte,2026-05-04 00:00:00,autres,1500.0
Benedicte,2026-05-05 00:00:00,autres,475.0
Benedicte,2026-05-05 00:00:00,nourriture,400.0
Benedicte,2026-05-05 00:00:00,deplacement,2000.0
Benedicte,2026-05-06 00:00:00,deplacement,900.0
Benedicte,2026-05-06 00:00:00,autres,525.0
Benedicte,2026-05-07 00:00:00,autres,425.0
Benedicte,2026-05-07 00:00:00,deplacement,800.0
Benedicte,2026-06-03 00:00:00,deplacement,3000.0
Benedicte,2026-06-03 00:00:00,nourriture,1500.0
Benedicte,2026-06-06 00:00:00,nourriture,1450.0
Benedicte,2026-06-06 00:00:00,deplacement,2975.0
Benedicte,2026-06-10 00:00:00,deplacement,3000.0
Benedicte,2026-06-10 00:00:00,nourriture,1675.0
Benedicte,2026-06-13 00:00:00,nourriture,950.0
Benedicte,2026-06-13 00:00:00,deplacement,2975.0
Benedicte,2026-06-17 00:00:00,deplacement,3000.0
Benedicte,2026-06-17 00:00:00,nourriture,1125.0
Benedicte,2026-06-20 00:00:00,nourriture,1500.0
Benedicte,2026-06-20 00:00:00,deplacement,2275.0
Benedicte,2026-06-24 00:00:00,deplacement,2000.0
Benedicte,2026-06-24 00:00:00,nourriture,1500.0
Benedicte,2026-06-27 00:00:00,nourriture,1500.0
Benedicte,2026-06-27 00:00:00,deplacement,2075.0
Benedicte,2026-06-30 00:00:00,deplacement,1950.0
Benedicte,2026-06-30 00:00:00,nourriture,1225.0
Benedicte,2026-05-03 00:00:00,nourriture,1000.0
Benedicte,2026-05-03 00:00:00,deplacement,2000.0
Benedicte,2026-05-03 00:00:00,autres,1400.0
Benedicte,2026-05-06 00:00:00,autres,2500.0
Benedicte,2026-05-06 00:00:00,deplacement,3700.0
Benedicte,2026-05-06 00:00:00,nourriture,900.0
Benedicte,2026-05-09 00:00:00,nourriture,1000.0
Benedicte,2026-05-09 00:00:00,deplacement,2875.0
Benedicte,2026-05-09 00:00:00,autres,425.0
Benedicte,2026-05-13 00:00:00,autres,2025.0
Benedicte,2026-05-13 00:00:00,deplacement,3150.0
Benedicte,2026-05-13 00:00:00,nourriture,1500.0
Benedicte,2026-05-16 00:00:00,nourriture,1500.0
Benedicte,2026-05-16 00:00:00,deplacement,2875.0
Benedicte,2026-05-20 00:00:00,deplacement,2975.0
Benedicte,2026-05-20 00:00:00,nourriture,1575.0
Benedicte,2026-05-23 00:00:00,nourriture,1500.0
Benedicte,2026-05-23 00:00:00,deplacement,3000.0
Benedicte,2026-05-23 00:00:00,autres,175.0
Benedicte,2026-05-27 00:00:00,deplacement,2975.0
Benedicte,2026-05-27 00:00:00,nourriture,1475.0
Benedicte,2026-05-31 00:00:00,nourriture,1525.0
Benedicte,2026-05-31 00:00:00,deplacement,3000.0
Benedicte,2026-05-31,autres,350.0
